,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
2996,挟撃作戦,['n'],きょうげきさくせん,挟,964,9,[],[],"['人', '大', '二', '并', '丶', '亠', '扌']",['挟'],[7],['形声 Phonetic'],[2],[4111],[4093],['.'],撃,1010,15,[],[],"['車', '手', '殳', '几', '又']",['撃'],[7],['形声 Phonetic'],[1],[113833],[113833],['P'],作,95,7,[' work (e.g. of art)/production harvest/cultivation/farming/crop/yield technique]'],['さく'],"['｜', 'ノ', '⺅']",['作'],[2],['形声 Phonetic'],[4],[513294],[500901],['P'],戦,908,13,"[' war/battle/campaign/fight troops/forces,', ' war/battle match/game/competition]']","['いくさ', 'せん']","['十', '⺌', '田', '戈']",['戦'],[4],['会意 Com. Ideographic'],[3],[594059],[592083],['S'],挟撃,[' pincer movement/pincer attack]'],['きょうげき'],挟撃,[' pincer movement/pincer attack]'],['きょうげき']
2997,前提条件,['n'],ぜんていじょうけん,前,242,9,"[' point/tip/end/nozzle head (of a line)/front first/before/ahead (of) (the way) ahead/beyond future previous/prior/former/recent/last destination rest (e.g. of a story)/continuation/remaining part the other party,', ' last (i.e. immediately preceding)/previous/ex-/former pre- (e.g. premodern) before before/earlier,', "" in front (of)/before (e.g. a building) before/earlier/previously/prior/ago/(minutes) to (the hour) (the) front/frontal part/fore/head (e.g. of a line) forward/ahead (in the) presence (of)/in front (of someone) previous (e.g. page)/prior (e.g. engagement)/first (e.g. half)/former (e.g. example) portion/helping front (of one's body or clothing)/breast (of a coat, kimono, etc.) privates/private parts 10. criminal record/previous conviction/(a) prior]""]","['さき', 'ぜん', 'まえ']","['一', '刂', '月', '并']",['前'],[2],['会意 Com. Ideographic'],[5],[718328],[679235],['R'],提,992,12,[' ceremonial sake decanter with a spout and semicircular handle]'],['ひさげ'],"['日', '疋', '扌']",['提'],[5],['形声 Phonetic'],[1],[174364],[174186],['R'],条,1158,7,"[' muscle/tendon/sinew vein/artery fiber/fibre/string line/stripe/streak reason/logic plot/storyline lineage/descent school (e.g. of scholarship or arts) aptitude/talent 10. source (of information, etc.)/circle/channel 11. well-informed person (in a transaction) 12. logical move (in go, shogi, etc.) 13. ninth vertical line 14. seam on a helmet 15. gristly fish paste (made of muscle, tendons, skin, etc.) 16. social position/status 17. on (a river, road, etc.)/along 18. counter for long thin things/counter for roads or blocks when giving directions 19. (Edo period) counter for hundreds of mon (obsolete unit of currency),', ' article (in document)/provision stripe/streak/line although/though since/as/because/inasmuch as,', ' passage/paragraph]']","['すじ', 'じょう', 'くだり']","['木', '夂', '攵']",['条'],[5],['会意 Com. Ideographic'],[1],[87689],[82845],['S'],件,67,6,"[' the aforementioned/the said/(man, incident, etc.) in question/the above-mentioned/the aforesaid the usual,', ' matter/affair/case/item/subject counter for (received) emails, text messages, voicemail messages, etc. counter for accounts (on a website, email service, etc.),', ' passage/paragraph]']","['くだん', 'けん', 'くだり']","['⺅', '牛']",['件'],[5],['会意 Com. Ideographic'],[3],[244514],[244194],['P'],前提,[' condition/assumption/prerequisite/hypothesis intention/intent/aim/goal premise (in logic)]'],['ぜんてい'],前提,[' condition/assumption/prerequisite/hypothesis intention/intent/aim/goal premise (in logic)]'],['ぜんてい']
2998,雲助根性,['n'],くもすけこんじょう,雲,2564,12,[' cloud]'],['くも'],"['一', '雨', '二', '厶']",['雲'],[2],['形声 Phonetic'],[2],[12988],[8889],['S'],助,257,7,"[' help/rescue/assistant,', ' assistance/help/helper babe/chick/broad]']","['じょ', 'すけ']","['目', '力']",['助'],[3],['会意 Com. Ideographic'],[3],[91357],[83256],['S'],根,1193,10,"["" root (of a plant) root (of a tooth, hair, etc.)/center (of a pimple, etc.) root (of all evil, etc.)/source/origin/cause/basis one's true nature (fishing) reef,"", ' stick-to-itiveness/perseverance/persistence radical (esp. one that tends to ionize easily) root indriya (faculty of the body having a specific function, i.e. the sensory organs)]']","['ね', 'こん']","['艮', '木']",['根'],[3],['形声 Phonetic'],[2],[82891],[49884],['S'],性,808,8,"["" one's nature/one's destiny custom/tradition/habit/convention,"", ' nature (of a person) sex gender -ty/-ity/-ness/-cy,', ' nature (of a person or thing) that which does not change according to external influences,', ' disposition/nature/character]']","['さが', 'せい', 'しょう', 'なりくせ']","['生', '忄']",['性'],[5],['形声 Phonetic'],[3],[450195],[450157],['P'],雲助,[' palanquin bearer/coolie/wandering robber]'],['くもすけ'],雲助,[' palanquin bearer/coolie/wandering robber]'],['くもすけ']
2999,手前定規,['n'],てまえじょうぎ,手,919,4,"["" hand/arm forepaw/foreleg handle hand/worker/help trouble/care/effort means/way/trick/move/technique/workmanship hand/handwriting kind/type/sort one's hands/one's possession 10. ability to cope 11. hand (of cards) 12. direction 13. move (in go, shogi, etc.)]""]",['て'],['手'],['手'],[1],['象形 Pictographic'],[4],[761851],[736309],['S'],前,242,9,"[' point/tip/end/nozzle head (of a line)/front first/before/ahead (of) (the way) ahead/beyond future previous/prior/former/recent/last destination rest (e.g. of a story)/continuation/remaining part the other party,', ' last (i.e. immediately preceding)/previous/ex-/former pre- (e.g. premodern) before before/earlier,', "" in front (of)/before (e.g. a building) before/earlier/previously/prior/ago/(minutes) to (the hour) (the) front/frontal part/fore/head (e.g. of a line) forward/ahead (in the) presence (of)/in front (of someone) previous (e.g. page)/prior (e.g. engagement)/first (e.g. half)/former (e.g. example) portion/helping front (of one's body or clothing)/breast (of a coat, kimono, etc.) privates/private parts 10. criminal record/previous conviction/(a) prior]""]","['さき', 'ぜん', 'まえ']","['一', '刂', '月', '并']",['前'],[2],['会意 Com. Ideographic'],[5],[718328],[679235],['R'],定,589,8,"[' certainly/truly,', ' certainty/reality/actuality regular/permanent samadhi (state of intense concentration achieved through meditation)]']","['さだ', 'じょう']","['疋', '宀']",['定'],[3],['会意 Com. Ideographic'],[3],[573023],[571195],['S'],規,2171,11,[],[],"['見', '土', '大']",['規'],[5],['会意 Com. Ideographic'],[3],[125053],[122281],['S'],手前,"["" before oneself/in front of one/nearby a bit before reaching (a location)/this side (of a location) one's standpoint/one's appearance/face/honour skill/dexterity/artistry/ingenuity tea-ceremony procedures I/me you,"", ' you I/me/oneself]']","['てまえ', 'てめえ']",手前,"["" before oneself/in front of one/nearby a bit before reaching (a location)/this side (of a location) one's standpoint/one's appearance/face/honour skill/dexterity/artistry/ingenuity tea-ceremony procedures I/me you,"", ' you I/me/oneself]']","['てまえ', 'てめえ']"
3000,奴隷根性,['n'],どれいこんじょう,奴,533,5,"["" servant (esp. a samurai's attendant) chivalrous man (Edo period) cubed tofu (often served cold) kite shaped like an Edo-period footman Edo-period hairstyle worn by samurai's attendants enslavement (of a woman; Edo-period punishment for her own or her husband's crime) he/she/him/her,"", ' fellow/guy/chap thing/object he/she/him/her,', ' damn/bastard humble,', ' slave retainer/servant captive varlet I/me]']","['やっこ', 'やつ', 'め', 'やつこ']","['女', '又']",['奴'],[7],['会意 Com. Ideographic'],[1],[2186],[2168],['S'],隷,2547,16,"[' servant/manservant/menial,', ' clerical script (ancient, highly angular style of kanji)]']","['しもべ', 'れい']","['ヨ', '士', '小', '水', '二', '隶', '示', '二', '小']",['隷'],[7],['会意 Com. Ideographic'],[1],[1540],[1478],['S'],根,1193,10,"["" root (of a plant) root (of a tooth, hair, etc.)/center (of a pimple, etc.) root (of all evil, etc.)/source/origin/cause/basis one's true nature (fishing) reef,"", ' stick-to-itiveness/perseverance/persistence radical (esp. one that tends to ionize easily) root indriya (faculty of the body having a specific function, i.e. the sensory organs)]']","['ね', 'こん']","['艮', '木']",['根'],[3],['形声 Phonetic'],[2],[82891],[49884],['S'],性,808,8,"["" one's nature/one's destiny custom/tradition/habit/convention,"", ' nature (of a person) sex gender -ty/-ity/-ness/-cy,', ' nature (of a person or thing) that which does not change according to external influences,', ' disposition/nature/character]']","['さが', 'せい', 'しょう', 'なりくせ']","['生', '忄']",['性'],[5],['形声 Phonetic'],[3],[450195],[450157],['P'],奴隷,[' slave/servant slavery]'],['どれい'],奴隷,[' slave/servant slavery]'],['どれい']
3001,行政手腕,['n'],ぎょうせいしゅわん,行,2122,6,"[' line (of text)/row/verse carya (austerities) samskara (formations) semi-cursive style (of writing Chinese characters)/running style,', "" going/travelling/traveling/journey/trip act/action bank counter for banks counter for groups or parties of people type of classical Chinese verse (usu. an epic from the Tang period onwards) shopping district (of similar merchants; in the Sui and Tang periods) merchants' guild (in the Tang period)]""]","['ぎょう', 'こう']","['行', '彳']",['行'],[2],['象形 Pictographic'],[5],[750313],[708761],['P'],政,1036,9,[' rule/government]'],['まつりごと'],"['一', '止', '攵']",['政'],[5],['形声 Phonetic'],[3],[673588],[660968],['S'],手,919,4,"["" hand/arm forepaw/foreleg handle hand/worker/help trouble/care/effort means/way/trick/move/technique/workmanship hand/handwriting kind/type/sort one's hands/one's possession 10. ability to cope 11. hand (of cards) 12. direction 13. move (in go, shogi, etc.)]""]",['て'],['手'],['手'],[1],['象形 Pictographic'],[4],[761851],[736309],['S'],腕,1964,12,"[' arm skill/efforts/ability,', ' arm (esp. upper arm) counter used to measure the thickness of round objects]']","['うで', 'かいな']","['月', '夕', '卩', '宀']",['腕'],[7],['形声 Phonetic'],[2],[23727],[23726],['S'],行政,[' administration/governance/the authorities/authority]'],['ぎょうせい'],行政,[' administration/governance/the authorities/authority]'],['ぎょうせい']
3002,膠着状態,['n'],こうちゃくじょうたい,膠,1972,15,"[' glue (usu. from animal and fish bone, skin, etc.)]']",['にかわ'],"['羽', '月', '𠆢', '冫', '彡']",,,,,,,,着,1648,12,"[' counter for suits of clothing arriving at ...,', ' clothes/outfit/uniform]']","['ちゃく', 'ぎ']","['ノ', '王', '并', '目', '羊']",['着'],[3],['形声 Phonetic'],[4],[137543],[137422],['P'],状,1511,7,"[' form/shape/appearance state/condition/circumstances letter/correspondence,', ' Mr./Mrs./Miss/Ms. makes a word more polite (usu. in fixed expressions) state/situation/appearance/manner]']","['じょう', 'さま']","['犬', '爿']",['状'],[5],['形声 Phonetic'],[3],[150338],[150301],['P'],態,869,14,"[' appearance/air/condition/state/form,', ' mess/sorry state/plight/sad sight -ways/-wards in the act of .../just as one is ... manner of .../way of ...,', ' style/way/shape/form/appearance/state,', ' condition/figure/appearance voice]']","['てい', 'ざま', 'なり', 'たい']","['月', '心', '匕', '厶']",['態'],[5],['形声 Phonetic'],[1],[104268],[104268],['P'],膠着,[' agglutination/adhesion deadlock/stalemate/standstill]'],['こうちゃく'],膠着,[' agglutination/adhesion deadlock/stalemate/standstill]'],['こうちゃく']
3003,錯乱状態,['n'],さくらんじょうたい,錯,2485,16,[' rubbing/scrubbing/scraping]'],"['こすり', 'り']","['｜', '金', '日']",['錯'],[7],['形声 Phonetic'],[1],[4961],[4961],['S'],乱,30,7,[' revolt/rebellion/war]'],['らん'],"['乙', '口', '舌']",['乱'],[6],['会意 Com. Ideographic'],[2],[43946],[43338],['S'],状,1511,7,"[' form/shape/appearance state/condition/circumstances letter/correspondence,', ' Mr./Mrs./Miss/Ms. makes a word more polite (usu. in fixed expressions) state/situation/appearance/manner]']","['じょう', 'さま']","['犬', '爿']",['状'],[5],['形声 Phonetic'],[3],[150338],[150301],['P'],態,869,14,"[' appearance/air/condition/state/form,', ' mess/sorry state/plight/sad sight -ways/-wards in the act of .../just as one is ... manner of .../way of ...,', ' style/way/shape/form/appearance/state,', ' condition/figure/appearance voice]']","['てい', 'ざま', 'なり', 'たい']","['月', '心', '匕', '厶']",['態'],[5],['形声 Phonetic'],[1],[104268],[104268],['P'],錯乱,[' confusion/distraction/derangement]'],['さくらん'],錯乱,[' confusion/distraction/derangement]'],['さくらん']
3004,籠城作戦,['n'],ろうじょうさくせん,籠,1792,22,"[' basket (shopping, etc.)/hamper/cage,', ' prison/jail/gaol firm/solid/strong]']","['かご', 'ろう']","['月', '竹', '立']",['籠'],[7],['形声 Phonetic'],[0],[2526],[2090],['.'],城,467,9,"[' castle,', ' castle (in place names) castle/fortress,', ' fortress (surrounded by a wall, moat, etc.)]']","['しろ', 'じょう', 'き']","['ノ', '土', '戈']",['城'],[6],['形声 Phonetic'],[2],[82540],[12904],['S'],作,95,7,[' work (e.g. of art)/production harvest/cultivation/farming/crop/yield technique]'],['さく'],"['｜', 'ノ', '⺅']",['作'],[2],['形声 Phonetic'],[4],[513294],[500901],['P'],戦,908,13,"[' war/battle/campaign/fight troops/forces,', ' war/battle match/game/competition]']","['いくさ', 'せん']","['十', '⺌', '田', '戈']",['戦'],[4],['会意 Com. Ideographic'],[3],[594059],[592083],['S'],籠城,"["" holding a castle (during a siege)/holing up confinement (to one's home)/staying at home/staying indoors]""]",['ろうじょう'],籠城,"["" holding a castle (during a siege)/holing up confinement (to one's home)/staying at home/staying indoors]""]",['ろうじょう']
3005,相乗効果,['n'],そうじょうこうか,相,1634,9,"["" one's nature/one's destiny custom/tradition/habit/convention,"", ' together/mutually/fellow,', "" appearance/look/countenance a 'seeming' that fortune-tellers relate to one's fortune aspect phase (e.g. solid, liquid and gaseous),"", ' alternately/in succession,', ' minister of state]']","['さが', 'あい', 'そう', 'こもごも', 'しょう']","['木', '目']",['相'],[3],['会意 Com. Ideographic'],[3],[568804],[555691],['S'],乗,25,9,"["" (nth) power counter for vehicles multiplication Buddha's teachings]""]",['じょう'],"['｜', 'ノ', '一', '禾', 'ハ']",['乗'],[3],['会意 Com. Ideographic'],[3],[109192],[108840],['S'],効,262,8,"[' efficacy/benefit/efficiency/effect/result/success,', ' effect/result/worth/use/avail Kai (former province located in present-day Yamanashi Prefecture)]']","['こう', 'かい']","['父', '力', '亠']",['効'],[5],['会意 Com. Ideographic'],[2],[91013],[91013],['S'],果,1170,8,"["" phala (attained state, result) enlightenment (as the fruits of one's Buddhist practice) fruit counter for pieces of fruit,"", ' end/limit/extremity,', ' progress]']","['か', 'はたて', 'たて', 'はか']","['｜', '田', '木']",['果'],[4],['象形 Pictographic'],[3],[183069],[182852],['S'],相乗,[' multiplication/synergism]'],['そうじょう'],相乗,[' multiplication/synergism]'],['そうじょう']
3006,親藩大名,['n'],しんぱんだいみょう,親,2175,16,"[' parent/parents/mother and father dealer (in cards, mahjong, etc.)/banker founder/inventor (pet) owner key/parent (organization)/main ancestor/forefather,', ' intimacy/closeness/friendliness close relative pro- (e.g. pro-American)]']","['おや', 'しん']","['見', '十', '辛', '并', '木', '立', '亠']",['親'],[2],['会意 Com. Ideographic'],[4],[130969],[129143],['R'],藩,2077,18,"[' feudal domain (Edo and early Meiji periods, precursor to current prefectures)/fiefdom/province]']",['はん'],"['氵', '田', '釆', '米', '⺾']",['藩'],[7],['形声 Phonetic'],[1],[2486],[2443],['S'],大,513,3,"[' large/big/great/major/important/serious/heavy/loud older/senior final/ultimate rough/broad/general,', ' large/big/great/huge/vast/major/important/serious/severe great/prominent/eminent/distinguished -sized/as big as/the size of university large (e.g. serving size)/large option long month (i.e. having 31 days),', ' great/grand/large greater (of equal court ranks)/upper/senior a great deal/very much,', ' greater (of equal court ranks)/upper/senior a great deal/very much,', ' nth year in the Taishō era (1912.7.30-1926.12.25)]']","['おお', 'だい', 'おおき', 'き', 'おおい', 'い', 'たい']",['大'],['大'],[1],['象形 Pictographic'],[5],[1825235],[1224358],['R'],名,345,6,"[' name/given name title fame/renown/reputation pretext/pretense/justification/appearance,', ' counter for people (usu. seating, reservations and such) first name famous/great name noun]']","['な', 'めい']","['口', '夕']",['名'],[1],['会意 Com. Ideographic'],[5],[291373],[241836],['S'],親藩,[' feudal domain owned by a Tokugawa family branch]'],['しんぱん'],親藩,[' feudal domain owned by a Tokugawa family branch]'],['しんぱん']
3007,昭和元禄,['n'],しょうわげんろく,昭,1095,9,[' nth year in the Shōwa era (1926.12.25-1989.1.7)]'],['しょう'],"['口', '刀', '日']",['昭'],[3],['形声 Phonetic'],[1],[42854],[58],['.'],和,372,8,"[' calm (at sea)/lull,', ' sum harmony/peace Japan/Japanese-style,', ' soft/fragile/weak/poorly built/insubstantial,', ' tranquil/calm/quiet/peaceful]']","['なぎ', 'わ', 'やわ', 'のど']","['禾', '口']",['和'],[3],['会意 Com. Ideographic'],[3],[259765],[111315],['R'],元,169,4,"["" origin/source base/basis/foundation/root cause ingredient/material (somebody's) side/(somebody's) location original cost (or capital, principal, etc.) (plant) root/(tree) trunk first section of a waka counter for blades of grass, tree trunks, etc., and for falcons (in falconry) 10. handle (chopsticks, brush, etc.)/grip,"", ' unknown (e.g. in an equation) element (of a set) yuan (monetary unit of China) New Taiwan dollar Yuan dynasty (China, 1271-1368)/Yüan dynasty/Mongol dynasty,', ' former/ex-/past/one-time earlier times/the past/previous state formerly/previously/originally/before, ユアン', ' yuan (monetary unit of China)]']","['もと', 'げん', 'もと']","['二', '儿', '元']",['元'],[2],['象形 Pictographic'],[4],[301141],[284013],['S'],禄,1702,12,[' stipend/reward]'],['ろく'],"['ヨ', '水', '礻', '隶']",,,,,,,,昭和,[' Shōwa era (1926.12.25-1989.1.7) reminiscent of the Shōwa era/Shōwa-nostalgic/old-fashioned/quaint/old-school]'],['しょうわ'],昭和,[' Shōwa era (1926.12.25-1989.1.7) reminiscent of the Shōwa era/Shōwa-nostalgic/old-fashioned/quaint/old-school]'],['しょうわ']
3008,役者冥利,['n'],やくしゃみょうり,役,764,7,"[' war/campaign/battle unpaid work (ritsuryo system)/forced labor,', ' role/assignment/responsibility/duty/function/job/service position (of responsibility)/post/office part (in a play, film, etc.)/role/character scoring combination (in mahjong, card games, etc.)/meld/hand/yaku]']","['えき', 'やく']","['彳', '殳', '几', '又']",['役'],[3],['会意 Com. Ideographic'],[3],[164061],[163521],['P'],者,1914,8,"[' person,', ' person/-er expert/geisha/prostitute]']","['もの', 'しゃ']","['日', '⺹']",['者'],[3],['会意 Com. Ideographic'],[4],[966424],[965848],['P'],冥,201,10,[],[],"['日', 'ハ', '亠', '冖']",['冥'],[7],['象形 Pictographic'],[0],[1680],[1680],['R'],利,230,7,[' advantage/benefit/profit/interest]'],['り'],"['禾', '刂']",['利'],[4],['会意 Com. Ideographic'],[3],[231614],[206382],['S'],役者,[' actor/actress man of wits/clever person/cunning fellow]'],['やくしゃ'],役者,[' actor/actress man of wits/clever person/cunning fellow]'],['やくしゃ']
3009,原野商法,['n'],げんやしょうほう,原,309,10,"[' original/primitive/primary/fundamental/raw,', ' field/plain/prairie/tundra/moor/wilderness,', ' suffixed to words indicating a class of people to create a plural (esp. in impolite contexts)]']","['げん', 'はら', 'ばら']","['小', '白', '厂']",['原'],[2],['象形 Pictographic'],[3],[340241],[180401],['R'],野,2459,11,[' plain/field hidden (structural) member wild lacking a political post]'],['の'],"['矛', '里', '亅']",['野'],[2],['形声 Phonetic'],[4],[522054],[251945],['R'],商,396,11,"[' quotient dealing/dealer/store second degree (of the Japanese and Chinese pentatonic scale) Shang dynasty (China, approx. 1600-1046 BCE)/Yin dynasty]']",['しょう'],"['口', '并', '立', '亠', '儿', '冂']",['商'],[3],['会意 Com. Ideographic'],[3],[106813],[93620],['R'],法,1321,8,[' law/act/principle method mood dharma/law]'],['ほう'],"['氵', '土', '厶']",['法'],[4],['会意 Com. Ideographic'],[3],[440454],[417985],['P'],原野,[' waste land/wilderness/moor/field/plain]'],['げんや'],原野,[' waste land/wilderness/moor/field/plain]'],['げんや']
3010,乱診乱療,['n'],らんしんらんりょう,乱,30,7,[' revolt/rebellion/war]'],['らん'],"['乙', '口', '舌']",['乱'],[6],['会意 Com. Ideographic'],[2],[43946],[43338],['S'],診,2193,12,[],[],"['言', '𠆢', '彡']",['診'],[7],['形声 Phonetic'],[1],[36486],[36473],['P'],乱,30,7,[' revolt/rebellion/war]'],['らん'],"['乙', '口', '舌']",['乱'],[6],['会意 Com. Ideographic'],[2],[43946],[43338],['S'],療,1608,17,[],[],"['小', '日', '并', '𠆢', '疒']",['療'],[7],['形声 Phonetic'],[2],[97344],[97099],['S'],乱診,[],[],乱診,[],[]
3011,史上空前,['n'],しじょうくうぜん,史,336,5,"[' history,', ' court historian]']","['し', 'ふひと']","['ノ', '口']",['史'],[4],['会意 Com. Ideographic'],[2],[99763],[78830],['S'],上,8,3,"[' above/up/over/elder (e.g. daughter) top/summit/head (e.g. of a staircase) surface before/previous superiority/one\'s superior/one\'s elder on top of that/besides/what\'s more/not only ... but upon (further inspection, etc.)/based on (and occurring after) matters concerning .../as concerns ... since (i.e. ""for that reason"") 10. honorable/venerable 11. place of one\'s superior (e.g. the throne) 12. emperor/sovereign/shogun/daimyo 13. noblewoman (esp. the wife of a nobleman),', ' upper/upward/outer/surface/top,', ' upper reaches (of a river)/upper stream top/upper part/upper half (of the body) long ago beginning/first person of high rank (e.g. the emperor) government/imperial court imperial capital (i.e. Kyoto)/capital region (i.e. Kansai)/region (or direction of) the imperial palace head (of a table) wife/mistress (of a restaurant),', ' from the standpoint of/as a matter of (e.g. fact)/in the field of/being of the type of aboard (a ship or vehicle)/on top of/on/above first volume (e.g. book) superior quality/best/top/high class going up governmental/imperial presenting/showing ana-]']","['うえ', 'うわ', 'かみ', 'じょう']","['一', '卜']",['上'],[1],['指事 Ideographic'],[5],[862397],[739020],['S'],空,1739,8,"[' emptiness/vacuum/blank,', ' sky/the air/the heavens weather far-off place/distant place state of mind/feeling (from) memory/(by) heart falsehood/lie somehow/vaguely fake,', ' hollow/cavity/hole,', ' empty air/sky shunyata/emptiness/the lack of an immutable intrinsic nature within any phenomenon air force fruitlessness/meaninglessness void (one of the five elements) empty (e.g. set)]']","['から', 'そら', 'うろ', 'くう']","['穴', '工', '儿', '宀']",['空'],[1],['形声 Phonetic'],[4],[148417],[126665],['R'],前,242,9,"[' point/tip/end/nozzle head (of a line)/front first/before/ahead (of) (the way) ahead/beyond future previous/prior/former/recent/last destination rest (e.g. of a story)/continuation/remaining part the other party,', ' last (i.e. immediately preceding)/previous/ex-/former pre- (e.g. premodern) before before/earlier,', "" in front (of)/before (e.g. a building) before/earlier/previously/prior/ago/(minutes) to (the hour) (the) front/frontal part/fore/head (e.g. of a line) forward/ahead (in the) presence (of)/in front (of someone) previous (e.g. page)/prior (e.g. engagement)/first (e.g. half)/former (e.g. example) portion/helping front (of one's body or clothing)/breast (of a coat, kimono, etc.) privates/private parts 10. criminal record/previous conviction/(a) prior]""]","['さき', 'ぜん', 'まえ']","['一', '刂', '月', '并']",['前'],[2],['会意 Com. Ideographic'],[5],[718328],[679235],['R'],史上,[' in history/ever/historical]'],['しじょう'],史上,[' in history/ever/historical]'],['しじょう']
3012,問題商法,['n'],もんだいしょうほう,問,397,11,"[' question/query,', ' counter for questions]']","['とい', 'い', 'もん']","['口', '門']",['問'],[3],['会意 Com. Ideographic'],[4],[433896],[433569],['P'],題,2614,18,[' title/subject/theme/topic problem (on a test)/question counter for questions (on a test)]'],['だい'],"['貝', '目', 'ハ', '日', '疋', '頁']",['題'],[3],['形声 Phonetic'],[4],[312442],[312133],['P'],商,396,11,"[' quotient dealing/dealer/store second degree (of the Japanese and Chinese pentatonic scale) Shang dynasty (China, approx. 1600-1046 BCE)/Yin dynasty]']",['しょう'],"['口', '并', '立', '亠', '儿', '冂']",['商'],[3],['会意 Com. Ideographic'],[3],[106813],[93620],['R'],法,1321,8,[' law/act/principle method mood dharma/law]'],['ほう'],"['氵', '土', '厶']",['法'],[4],['会意 Com. Ideographic'],[3],[440454],[417985],['P'],問題,"[' question (e.g. on a test)/problem problem (e.g. societal, political)/question/issue/subject (e.g. of research)/case/matter question (i.e. doubt) public discussion/controversy trouble/problem/inconvenience/difficulty]']",['もんだい'],問題,"[' question (e.g. on a test)/problem problem (e.g. societal, political)/question/issue/subject (e.g. of research)/case/matter question (i.e. doubt) public discussion/controversy trouble/problem/inconvenience/difficulty]']",['もんだい']
3013,満願成就,"['n,vs']",まんがんじょうじゅ,満,1395,12,"[' being full (counting) completed years (e.g. when calculating age) full (years, months, etc.) Manchuria]']",['まん'],"['｜', '一', '氵', '二', '冂', '山']",['満'],[4],['形声 Phonetic'],[3],[85439],[76938],['R'],願,2618,19,"[' desire/wish/hope request/entreaty/plea/appeal prayer (written) application,', ' prayer/wish/vow]']","['ねがい', 'い', 'がん']","['貝', '目', 'ハ', '小', '白', '頁', '厂']",['願'],[4],['形声 Phonetic'],[3],[32081],[31216],['P'],成,903,6,[],[],"['ノ', '戈']",['成'],[4],['会意 Com. Ideographic'],[3],[362233],[314970],['S'],就,635,12,[],[],"['口', '小', '丶', '亠', '尤', '尢']",['就'],[6],['会意 Com. Ideographic'],[1],[65148],[65095],['R'],満願,[' fulfilment of a vow/fulfillment of a vow]'],['まんがん'],満願,[' fulfilment of a vow/fulfillment of a vow]'],['まんがん']
3014,本懐成就,"['n,vs']",ほんかいじょうじゅ,本,1144,5,"["" origin/source base/basis/foundation/root cause ingredient/material (somebody's) side/(somebody's) location original cost (or capital, principal, etc.) (plant) root/(tree) trunk first section of a waka counter for blades of grass, tree trunks, etc., and for falcons (in falconry) 10. handle (chopsticks, brush, etc.)/grip,"", ' book/volume/script this/present main/head real/regular counter for long cylindrical things/counter for films, TV shows, etc./counter for goals, home runs, etc./counter for telephone calls]']","['もと', 'ほん']","['一', '木']",['本'],[1],['指事 Ideographic'],[5],[1485252],[701651],['R'],懐,895,16,"["" inside the breast of one's clothing (esp. kimono)/bosom/(breast) pocket space between one's chest and outstretched arms/(one's) reach heart (e.g. of a mountain)/bosom (e.g. of nature)/depths/inner part mind/heart/inner thoughts money (one is carrying)/purse/pocketbook]""]",['ふところ'],"['衣', '十', '罒', '忄']",['懐'],[7],['形声 Phonetic'],[1],[9364],[9361],['S'],成,903,6,[],[],"['ノ', '戈']",['成'],[4],['会意 Com. Ideographic'],[3],[362233],[314970],['S'],就,635,12,[],[],"['口', '小', '丶', '亠', '尤', '尢']",['就'],[6],['会意 Com. Ideographic'],[1],[65148],[65095],['R'],本懐,"["" one's long-cherished desire]""]",['ほんかい'],本懐,"["" one's long-cherished desire]""]",['ほんかい']
